,s,a,r,s1
90,[-0.46301302 -0.00529583],[-0.0673048],-0.00045299367654740854,[-0.4688617  -0.00584868]
91,[-0.4688617  -0.00584868],[0.1127663],-0.0012716239119812624,[-0.47494993 -0.00608822]
92,[-0.47494993 -0.00608822],[0.2324246],-0.005402119557418339,[-0.48105308 -0.00610315]
93,[-0.48105308 -0.00610315],[0.62396026],-0.03893264017870593,[-0.48653853 -0.00548544]
94,[-0.48653853 -0.00548544],[-0.19965738],-0.003986306962042718,[-0.49260083 -0.00606231]
95,[-0.49260083 -0.00606231],[0.11740679],-0.001378435327865546,[-0.4987192  -0.00611835]
96,[-0.4987192  -0.00611835],[0.04751002],-0.00022572020417204743,[-0.50495267 -0.0062335 ]
97,[-0.50495267 -0.0062335 ],[-0.98630023],-0.09727881437498241,[-0.5128054  -0.00785273]
98,[-0.5128054  -0.00785273],[-0.4202748],-0.017663090255723903,[-0.52136946 -0.00856408]
99,[-0.52136946 -0.00856408],[-0.83614147],-0.06991325529948114,[-0.53120446 -0.00983501]
100,[-0.53120446 -0.00983501],[0.2409029],-0.005803420756365085,[-0.58979964  0.00086093]
101,[-0.58979964  0.00086093],[0.8783406],-0.07714822129830878,[-0.5871279   0.00267169]
102,[-0.5871279   0.00267169],[0.7834732],-0.06138302451610436,[-0.5828074   0.00432049]
103,[-0.5828074   0.00432049],[0.90053964],-0.08109716371091623,[-0.57669437  0.00611303]
104,[-0.57669437  0.00611303],[-0.17674626],-0.0031239241873333382,[-0.57044995  0.00624445]
105,[-0.57044995  0.00624445],[-0.88096553],-0.07761002665851927,[-0.5651767   0.00527323]
106,[-0.5651767   0.00527323],[0.2451994],-0.006012274439033605,[-0.55922467  0.00595205]
107,[-0.55922467  0.00595205],[0.08899065],-0.0007919335978053222,[-0.5528724   0.00635223]
108,[-0.5528724   0.00635223],[0.14101209],-0.001988440881104858,[-0.5460894   0.00678301]
109,[-0.5460894   0.00678301],[0.01150338],-1.323277252117056e-05,[-0.5391206   0.00696882]
110,[-0.5391206   0.00696882],[-0.91302866],-0.08336213293000619,[-0.53340495  0.00571565]
111,[-0.53340495  0.00571565],[-0.59721017],-0.03566599857641108,[-0.5285116   0.00489337]
112,[-0.5285116   0.00489337],[0.8722327],-0.07607898403012428,[-0.522273    0.00623856]
113,[-0.522273    0.00623856],[-0.79321593],-0.06291915123385117,[-0.5172342  0.0050388]
114,[-0.5172342  0.0050388],[0.4591744],-0.02108411246632045,[-0.51155436  0.00567983]
115,[-0.51155436  0.00567983],[-0.40090486],-0.016072471003723,[-0.5065662   0.00498816]
116,[-0.5065662   0.00498816],[0.7330281],-0.053733021568277556,[-0.50060624  0.00596001]
117,[-0.50060624  0.00596001],[0.8459351],-0.07156062040326674,[-0.49354964  0.00705661]
118,[-0.49354964  0.00705661],[0.5352888],-0.028653411089271687,[-0.48591515  0.00763448]
119,[-0.48591515  0.00763448],[0.4991254],-0.024912615618536284,[-0.47781402  0.00810114]
120,[-0.47781402  0.00810114],[-0.7761863],-0.060246515275261814,[-0.40591967 -0.00204301]
121,[-0.40591967 -0.00204301],[0.02933253],-8.603974110090209e-05,[-0.40878305 -0.00286339]
122,[-0.40878305 -0.00286339],[-0.79495513],-0.06319536656958605,[-0.41368306 -0.00490001]
123,[-0.41368306 -0.00490001],[-0.40637276],-0.016513881662878396,[-0.42000213 -0.00631908]
124,[-0.42000213 -0.00631908],[-0.9407176],-0.08849495614345103,[-0.4284968  -0.00849468]
125,[-0.4284968  -0.00849468],[-0.51986015],-0.027025457392552712,[-0.43847492 -0.0099781 ]
