,s,a,r,s1
237,[-0.04722939 -0.38596764  0.00888177  0.5621271 ],0,1.0,[-0.05494874 -0.5812131   0.02012431  0.8575949 ]
238,[-0.05494874 -0.5812131   0.02012431  0.8575949 ],1,1.0,[-0.066573   -0.38637102  0.03727621  0.5713071 ]
239,[-0.066573   -0.38637102  0.03727621  0.5713071 ],0,1.0,[-0.07430042 -0.5819953   0.04870236  0.8754964 ]
240,[-0.07430042 -0.5819953   0.04870236  0.8754964 ],0,1.0,[ 0.04246227 -0.19184907  0.03980698  0.32179913]
241,[ 0.04246227 -0.19184907  0.03980698  0.32179913],1,1.0,[0.03862529 0.00268408 0.04624296 0.04193074]
242,[0.03862529 0.00268408 0.04624296 0.04193074],1,1.0,[ 0.03867897  0.19711345  0.04708157 -0.23581098]
243,[ 0.03867897  0.19711345  0.04708157 -0.23581098],0,1.0,[0.04262124 0.00135157 0.04236535 0.07134333]
244,[0.04262124 0.00135157 0.04236535 0.07134333],0,1.0,[ 0.04264827 -0.19435135  0.04379222  0.37708598]
245,[ 0.04264827 -0.19435135  0.04379222  0.37708598],1,1.0,[-0.00131625  0.18916059 -0.02572747 -0.2722022 ]
246,[-0.00131625  0.18916059 -0.02572747 -0.2722022 ],1,1.0,[ 0.00246697  0.38464    -0.03117151 -0.57288736]
247,[ 0.00246697  0.38464    -0.03117151 -0.57288736],0,1.0,[ 0.01015977  0.18996868 -0.04262926 -0.29018512]
248,[ 0.01015977  0.18996868 -0.04262926 -0.29018512],0,1.0,[ 0.01395914 -0.0045203  -0.04843296 -0.01124591]
249,[ 0.01395914 -0.0045203  -0.04843296 -0.01124591],0,1.0,[ 0.01386873 -0.1989154  -0.04865788  0.2657711 ]
250,[ 0.01386873 -0.1989154  -0.04865788  0.2657711 ],0,1.0,[-0.03520397 -0.17491339  0.01521899  0.3291817 ]
251,[-0.03520397 -0.17491339  0.01521899  0.3291817 ],1,1.0,[-0.03870223  0.01998863  0.02180262  0.04133672]
