,s,a,r,s1
74,[-0.99483436  0.10151129 -3.750763  ],[-0.08225585],-10.647858810939134,[-0.9593702  0.2821504 -3.6869678]
75,[-0.9593702  0.2821504 -3.6869678],[1.4613234],-9.515719112199625,[-0.9009499   0.43392313 -3.2561567 ]
76,[-0.9009499   0.43392313 -3.2561567 ],[-0.7813895],-8.31176861811577,[-0.8246355   0.56566447 -3.0479226 ]
77,[-0.8246355   0.56566447 -3.0479226 ],[-1.8185043],-7.385687903962779,[-0.73436797  0.6787516  -2.89645   ]
78,[-0.73436797  0.6787516  -2.89645   ],[1.0798455],-6.578678771363376,[-0.6544572  0.756099  -2.2254095]
79,[-0.6544572  0.756099  -2.2254095],[-1.8428952],-5.716488760091924,[-0.5783675   0.81577635 -1.9347694 ]
80,[-0.5783675   0.81577635 -1.9347694 ],[-1.6147283],-5.162194925244934,[-0.51282203  0.85849494 -1.5651464 ]
81,[-0.51282203  0.85849494 -1.5651464 ],[1.1681695],-4.695332169373023,[-0.48044872  0.8770228  -0.7460498 ]
82,[-0.48044872  0.8770228  -0.7460498 ],[-0.7734525],-4.349286267314054,[-0.471465    0.88188475 -0.20430057]
83,[-0.471465    0.88188475 -0.20430057],[0.98489577],-4.255946932480412,[-0.49791563  0.86722547  0.6048474 ]
84,[-0.49791563  0.86722547  0.6048474 ],[1.8861114],-4.41656335576751,[-0.5630756  0.8264054  1.5381832]
85,[-0.5630756  0.8264054  1.5381832],[1.2885003],-4.942384289386317,[-0.65612006  0.7546565   2.3512623 ]
86,[-0.65612006  0.7546565   2.3512623 ],[-1.9867704],-5.7847001412549375,[-0.74905056  0.66251284  2.619239  ]
87,[-0.74905056  0.66251284  2.619239  ],[0.48591137],-6.530217069153844,[-0.84473956  0.5351776   3.1890104 ]
88,[-0.84473956  0.5351776   3.1890104 ],[1.105417],-7.658483866778404,[-0.9298072   0.36804694  3.7562063 ]
89,[-0.9298072   0.36804694  3.7562063 ],[1.2687548],-9.056001363619968,[-0.98629     0.16502161  4.2225547 ]
90,[-0.98629     0.16502161  4.2225547 ],[0.30053893],-10.638548469420261,[-0.99855363 -0.05376422  4.391402  ]
91,[-0.99855363 -0.05376422  4.391402  ],[0.2038466],-11.463006655791917,[-0.9630006  -0.26949918  4.3816557 ]
92,[-0.9630006  -0.26949918  4.3816557 ],[1.387188],-10.151367604339576,[-0.8812701  -0.47261295  4.3876095 ]
93,[-0.8812701  -0.47261295  4.3876095 ],[1.5255129],-8.946437213143222,[-0.76138324 -0.648302    4.2619767 ]
94,[-0.76138324 -0.648302    4.2619767 ],[0.78317815],-7.752325191567163,[-0.6215994 -0.7833353  3.8932266]
95,[-0.6215994 -0.7833353  3.8932266],[-0.0731436],-6.540403609555884,[-0.4847218  -0.87466836  3.2947538 ]
96,[-0.4847218  -0.87466836  3.2947538 ],[0.16854444],-5.39883882590812,[-0.36426494 -0.9312954   2.6640341 ]
97,[-0.36426494 -0.9312954   2.6640341 ],[1.1940333],-4.488868772218497,[-0.26249793 -0.96493256  2.1446676 ]
98,[-0.26249793 -0.96493256  2.1446676 ],[0.71528494],-3.8328597234452597,[-0.18807025 -0.98215556  1.5282608 ]
99,[-0.18807025 -0.98215556  1.5282608 ],[1.8474387],-3.334547528734964,[-0.13534233 -0.9907989   1.0687599 ]
100,[-0.13534233 -0.9907989   1.0687599 ],[-0.8804071],-3.0273308642675367,[-0.12574522 -0.99206257  0.19359973]
101,[-0.12574522 -0.99206257  0.19359973],[0.01580777],-2.8831341353919995,[-0.15288089 -0.9882446  -0.54807603]
102,[-0.15288089 -0.9882446  -0.54807603],[0.6935485],-3.003658180749874,[-0.21114297 -0.9774552  -1.1852273 ]
103,[-0.21114297 -0.9774552  -1.1852273 ],[1.9442409],-3.3252730309676086,[-0.2898578 -0.9570697 -1.6266825]
104,[-0.2898578 -0.9570697 -1.6266825],[-0.47722378],-3.74259457447978,[-0.40308166 -0.915164   -2.4160683 ]
105,[-0.40308166 -0.915164   -2.4160683 ],[1.5439107],-4.529039435590828,[-0.5298506 -0.848091  -2.8708549]
106,[-0.5298506 -0.848091  -2.8708549],[0.21922125],-5.357809735718142,[-0.6684527 -0.7437547 -3.4740398]
107,[-0.6684527 -0.7437547 -3.4740398],[0.4925898],-6.5105910172856305,[-0.8016347  -0.59781414 -3.9579673 ]
108,[-0.8016347  -0.59781414 -3.9579673 ],[0.9633174],-7.821584705392525,[-0.9099304  -0.41476092 -4.2618303 ]
109,[-0.9099304  -0.41476092 -4.2618303 ],[1.2683135],-9.183250079544818,[-0.9783327  -0.20703892 -4.382654  ]
110,[-0.9783327  -0.20703892 -4.382654  ],[0.73445433],-10.524059834852952,[-0.99991757  0.01284056 -4.427765  ]
111,[-0.99991757  0.01284056 -4.427765  ],[1.8920442],-11.75317758840615,[-0.975994    0.21779758 -4.134328  ]
112,[-0.975994    0.21779758 -4.134328  ],[0.9787768],-10.24851531735852,[-0.9168154   0.39931124 -3.8241632 ]
113,[-0.9168154   0.39931124 -3.8241632 ],[1.8214161],-8.923157098986652,[-0.84009457  0.54244    -3.2514675 ]
114,[-0.84009457  0.54244    -3.2514675 ],[-1.8160869],-7.656429822808818,[-0.7457134   0.66626686 -3.1170504 ]
115,[-0.7457134   0.66626686 -3.1170504 ],[-0.43864354],-6.791472712643881,[-0.649896   0.7600231 -2.6831467]
116,[-0.649896   0.7600231 -2.6831467],[-0.12011426],-5.910337589761721,[-0.56537706  0.8248326  -2.1311467 ]
117,[-0.56537706  0.8248326  -2.1311467 ],[0.7453522],-5.170956889375629,[-0.5062703   0.86237484 -1.4007193 ]
118,[-0.5062703   0.86237484 -1.4007193 ],[-1.9047658],-4.616765041117318,[-0.46077806  0.8875154  -1.0396531 ]
