,s,a,r,s1
74,[ 0.00305526 -0.00822133 -0.17770856  0.42537534],[-0.5487082],1.0,[-0.00762389  0.01650362 -0.35611092  0.8103353 ]
75,[-0.00762389  0.01650362 -0.35611092  0.8103353 ],[0.6468377],1.0,[-0.01748318  0.03832399 -0.13809732  0.29239921]
76,[-0.01748318  0.03832399 -0.13809732  0.29239921],[-0.53418785],1.0,[-0.02660282  0.05875334 -0.31756928  0.72687358]
77,[-0.02660282  0.05875334 -0.31756928  0.72687358],[1.825753],1.0,[-0.02720075  0.06030805  0.2855243  -0.62972841]
78,[-0.02720075  0.06030805  0.2855243  -0.62972841],[-0.5790187],1.0,[-0.01986337  0.0462792   0.08240838 -0.08200089]
79,[-0.01986337  0.0462792   0.08240838 -0.08200089],[0.33504027],1.0,[-0.01446376  0.03909585  0.18740426 -0.27587134]
80,[-0.01446376  0.03909585  0.18740426 -0.27587134],[-2.8377726],1.0,[-0.02596944  0.07291571 -0.75953778  1.94092853]
81,[-0.02596944  0.07291571 -0.75953778  1.94092853],[1.8096676],1.0,[-0.04420477  0.1220674  -0.15582213  0.54823446]
82,[-0.04420477  0.1220674  -0.15582213  0.54823446],[1.7507657],1.0,[-0.03904343  0.11958787  0.4120933  -0.65594898]
83,[-0.03904343  0.11958787  0.4120933  -0.65594898],[2.67318],1.0,[-0.00519824  0.05631876  1.27926891 -2.49792608]
84,[-0.00519824  0.05631876  1.27926891 -2.49792608],[2.1484163],1.0,[ 0.05974665 -0.07188314  1.96702011 -3.91475227]
85,[ 0.05974665 -0.07188314  1.96702011 -3.91475227],[0.7286692],1.0,[ 0.1425992  -0.23543898  2.17501648 -4.2806846 ]
86,[-0.00919104 -0.00937283 -0.00563892 -0.00830184],[-1.0632368],1.0,[-0.01647237  0.0064603  -0.3574877   0.79186274]
87,[-0.01647237  0.0064603  -0.3574877   0.79186274],[-0.02126056],1.0,[-0.03080926  0.03758889 -0.35996972  0.77100533]
88,[-0.03080926  0.03758889 -0.35996972  0.77100533],[-0.9551829],1.0,[-0.05152105  0.08294212 -0.67515318  1.49465151]
89,[-0.05152105  0.08294212 -0.67515318  1.49465151],[0.31273437],1.0,[-0.07639543  0.13788996 -0.56999814  1.26709648]
90,[-0.07639543  0.13788996 -0.56999814  1.26709648],[-0.11166868],1.0,[-0.10002403  0.19173446 -0.61201055  1.43276029]
91,[-0.10002403  0.19173446 -0.61201055  1.43276029],[2.4621365],1.0,[-0.1085159   0.21497149  0.18376664 -0.24013368]
92,[ 0.00692451  0.00523842 -0.00827389 -0.00898728],[2.0021467],1.0,[ 0.01989528 -0.02570994  0.65501057 -1.52315724]
93,[ 0.01989528 -0.02570994  0.65501057 -1.52315724],[-0.34442198],1.0,[ 0.0436211  -0.0798624   0.53280493 -1.19985048]
94,[ 0.0436211  -0.0798624   0.53280493 -1.19985048],[0.4477953],1.0,[ 0.06788096 -0.13486666  0.68043541 -1.55531566]
95,[ 0.06788096 -0.13486666  0.68043541 -1.55531566],[-0.4881385],1.0,[ 0.09190372 -0.1906594   0.5223748  -1.25038745]
96,[ 0.09190372 -0.1906594   0.5223748  -1.25038745],[-0.5192964],1.0,[ 0.10958635 -0.23557935  0.36313711 -1.00863391]
97,[ 0.00923019 -0.00098392  0.00546165 -0.00734478],[-2.5340772],1.0,[-0.00740936  0.03767734 -0.83504181  1.92045322]
98,[-0.00740936  0.03767734 -0.83504181  1.92045322],[0.68621856],1.0,[-0.03603144  0.10230072 -0.59828652  1.33238428]
99,[-0.03603144  0.10230072 -0.59828652  1.33238428],[-2.7478797],1.0,[-0.07812258  0.19774902 -1.5019341   3.41778659]
100,[-0.07812258  0.19774902 -1.5019341   3.41778659],[-2.756343],1.0,[-0.15570476  0.3737873  -2.36683536  5.35002231]
101,[ 0.00564389 -0.00674766  0.00782365  0.00164208],[1.4960496],1.0,[ 0.0159192  -0.02978497  0.50457013 -1.1418664 ]
102,[ 0.0159192  -0.02978497  0.50457013 -1.1418664 ],[-2.249674],1.0,[ 0.0210313  -0.04006042 -0.24601601  0.60135058]
103,[ 0.0210313  -0.04006042 -0.24601601  0.60135058],[-0.3201102],1.0,[ 0.00923806 -0.01278634 -0.3439037   0.76546831]
104,[ 0.00923806 -0.01278634 -0.3439037   0.76546831],[-1.0838543],1.0,[-0.01158469  0.03319842 -0.69683681  1.53186457]
105,[-0.01158469  0.03319842 -0.69683681  1.53186457],[0.32161155],1.0,[-0.03715412  0.08828292 -0.58313783  1.23754903]
106,[-0.03715412  0.08828292 -0.58313783  1.23754903],[1.7488664],1.0,[-0.04888606  0.11155563 -0.00614891 -0.0501326 ]
107,[-0.04888606  0.11155563 -0.00614891 -0.0501326 ],[1.797086],1.0,[-0.03747492  0.08488163  0.5755742  -1.27290398]
108,[-0.03747492  0.08488163  0.5755742  -1.27290398],[2.800731],1.0,[ 0.00378612 -0.00524754  1.48640934 -3.22601058]
109,[ 0.00378612 -0.00524754  1.48640934 -3.22601058],[1.0297536],1.0,[ 0.06953868 -0.1456933   1.80098948 -3.80992229]
110,[ 0.06953868 -0.1456933   1.80098948 -3.80992229],[0.6992178],1.0,[ 0.14561457 -0.30606168  2.00174501 -4.22300012]
111,[ 0.00859019  0.00999743 -0.00770934  0.0091413 ],[1.2324252],1.0,[ 0.01645496 -0.0083115   0.39986478 -0.9152539 ]
112,[ 0.01645496 -0.0083115   0.39986478 -0.9152539 ],[-0.17685308],1.0,[ 0.03114771 -0.04113475  0.33567181 -0.73495842]
113,[ 0.03114771 -0.04113475  0.33567181 -0.73495842],[-1.3417335],1.0,[ 0.03563052 -0.04988803 -0.10975237  0.28113668]
114,[ 0.03563052 -0.04988803 -0.10975237  0.28113668],[-0.9229358],1.0,[ 0.02525435 -0.02597946 -0.40856819  0.91037801]
115,[ 0.02525435 -0.02597946 -0.40856819  0.91037801],[-1.8135552],1.0,[-0.00295714  0.03650913 -1.00101246  2.20775736]
116,[-0.00295714  0.03650913 -1.00101246  2.20775736],[-2.4301896],1.0,[-0.05881852  0.15976534 -1.7889409   3.94487441]
117,[-0.05881852  0.15976534 -1.7889409   3.94487441],[-0.5501542],1.0,[-0.13340356  0.32339574 -1.93954297  4.25375896]
118,[-0.00925828  0.00989966  0.00246758  0.00566755],[-0.5414635],1.0,[-0.01278689  0.01870784 -0.17840542  0.43050991]
119,[-0.01278689  0.01870784 -0.17840542  0.43050991],[2.3242111],1.0,[-4.44527099e-03  1.31410978e-04  5.93127525e-01 -1.33832736e+00]
120,[-4.44527099e-03  1.31410978e-04  5.93127525e-01 -1.33832736e+00],[2.118655],1.0,[ 0.03315146 -0.08407849  1.28520346 -2.86482641]
121,[ 0.03315146 -0.08407849  1.28520346 -2.86482641],[-1.0369499],1.0,[ 0.07736505 -0.18084113  0.92903743 -2.00703752]
122,[ 0.07736505 -0.18084113  0.92903743 -2.00703752],[0.33444265],1.0,[ 0.11672244 -0.26732946  1.03913281 -2.32688314]
123,[ 0.00526493 -0.00557359 -0.00758346  0.00152982],[-1.9989122],1.0,[-0.00832518  0.02510366 -0.67010337  1.51694181]
124,[-0.00832518  0.02510366 -0.67010337  1.51694181],[-1.887013],1.0,[-0.04747696  0.11324879 -1.28597465  2.88460439]
125,[-0.04747696  0.11324879 -1.28597465  2.88460439],[0.29176334],1.0,[-0.09669259  0.22278991 -1.17697689  2.61762879]
126,[ 0.00044979  0.00245443  0.00244569 -0.00694674],[-2.6803362],1.0,[-0.01729001  0.04345446 -0.88685323  2.03563545]
127,[-0.01729001  0.04345446 -0.88685323  2.03563545],[1.3498693],1.0,[-0.04357245  0.10251447 -0.43037229  0.94582795]
128,[-0.04357245  0.10251447 -0.43037229  0.94582795],[0.19410229],1.0,[-0.05958099  0.1385327  -0.37088896  0.86348216]
129,[-0.05958099  0.1385327  -0.37088896  0.86348216],[-2.553359],1.0,[-0.0914172   0.21352009 -1.21689317  2.86280955]
130,[8.00282075e-03 6.32761593e-03 8.53240576e-03 1.44587091e-06],[0.25479043],1.0,[ 0.01002026  0.00260124  0.0921236  -0.18446788]
131,[ 0.01002026  0.00260124  0.0921236  -0.18446788],[-0.5516208],1.0,[ 0.00999728  0.00404577 -0.09262677  0.25087052]
132,[ 0.00999728  0.00404577 -0.09262677  0.25087052],[2.3494732],1.0,[ 0.02194479 -0.02221556  0.68768755 -1.54383411]
133,[ 0.02194479 -0.02221556  0.68768755 -1.54383411],[1.6066405],1.0,[ 0.05992411 -0.10697932  1.2102829  -2.69201815]
134,[ 0.05992411 -0.10697932  1.2102829  -2.69201815],[-2.7464933],1.0,[ 0.08993649 -0.17180166  0.29619389 -0.59763819]
135,[ 0.08993649 -0.17180166  0.29619389 -0.59763819],[-0.7533444],1.0,[ 0.09709683 -0.18752821  0.06285389 -0.19786415]
136,[ 0.09709683 -0.18752821  0.06285389 -0.19786415],[-2.9591436],1.0,[ 0.08048417 -0.15514884 -0.89192638  1.79944673]
137,[ 0.08048417 -0.15514884 -0.89192638  1.79944673],[1.8995935],1.0,[ 0.05797334 -0.11784782 -0.23616726  0.09372201]
138,[ 0.05797334 -0.11784782 -0.23616726  0.09372201],[2.460213],1.0,[ 0.06510208 -0.15429221  0.58944613 -1.8919399 ]
139,[ 0.06510208 -0.15429221  0.58944613 -1.8919399 ],[-2.6405513],1.0,[ 0.07130306 -0.19131244 -0.2748201   0.00285721]
140,[ 0.07130306 -0.19131244 -0.2748201   0.00285721],[-0.54819196],1.0,[ 0.05713478 -0.18741433 -0.43335398  0.19017934]
141,[ 0.05713478 -0.18741433 -0.43335398  0.19017934],[-2.4422648],1.0,[ 0.0241498  -0.1477658  -1.21503302  1.78174824]
142,[ 0.0241498  -0.1477658  -1.21503302  1.78174824],[0.06256277],1.0,[-0.02344778 -0.08319267 -1.16621011  1.46312758]
143,[-0.02344778 -0.08319267 -1.16621011  1.46312758],[0.50689787],1.0,[-0.06629775 -0.03633972 -0.97786054  0.89609875]
144,[-0.06629775 -0.03633972 -0.97786054  0.89609875],[0.41655532],1.0,[-0.1023892  -0.00898644 -0.82783633  0.48267708]
145,[-0.1023892  -0.00898644 -0.82783633  0.48267708],[1.9001722],1.0,[-0.12273177 -0.01978399 -0.19140259 -1.00376739]
