,s,a,r,s1
667,[-0.57227236 -0.00253049],[-0.27240887],-0.007420659400347862,[-0.5748477  -0.00257535]
668,[-0.5748477  -0.00257535],[-0.96416205],-0.09296084618953593,[-0.57848644 -0.00363874]
669,[-0.57848644 -0.00363874],[0.868007],-0.0753436159446185,[-0.58041334 -0.00192693]
670,[-0.58041334 -0.00192693],[-0.9334156],-0.0871264666859961,[-0.5833163 -0.002903 ]
671,[-0.5833163 -0.002903 ],[0.06157552],-0.00037915447597792893,[-0.5856815  -0.00236515]
672,[-0.5856815  -0.00236515],[-0.664486],-0.04415416322367527,[-0.5885804  -0.00289895]
673,[-0.5885804  -0.00289895],[0.6455596],-0.04167472086900013,[-0.59002674 -0.00144633]
674,[-0.59002674 -0.00144633],[0.6552824],-0.04293949951751444,[-5.899952e-01  3.151694e-05]
675,[-5.899952e-01  3.151694e-05],[0.00430498],-1.8532888263029244e-06,[-5.894625e-01  5.326612e-04]
676,[-5.894625e-01  5.326612e-04],[0.3325869],-0.011061405556420656,[-0.5879402   0.00152231]
677,[-0.5879402   0.00152231],[-0.9135396],-0.08345545796679268,[-0.58730865  0.00063157]
678,[-0.58730865  0.00063157],[-0.40129182],-0.01610351227336091,[-5.868041e-01  5.045544e-04]
679,[-5.868041e-01  5.045544e-04],[-0.34271377],-0.011745273037564986,[-5.8634239e-01  4.6168812e-04]
680,[-5.8634239e-01  4.6168812e-04],[0.67989546],-0.046225783735213,[-0.5843931   0.00194933]
681,[-0.5843931   0.00194933],[-0.46560898],-0.02167917261975072,[-0.58268875  0.00170435]
682,[-0.58268875  0.00170435],[0.35108542],-0.012326097524243096,[-0.5800169   0.00267184]
683,[-0.5800169   0.00267184],[-0.15535848],-0.00241362568191319,[-0.57715696  0.00285992]
684,[-0.57715696  0.00285992],[0.70111454],-0.04915615916534222,[-0.5728454   0.00431155]
685,[-0.5728454   0.00431155],[0.71201783],-0.050696939619971106,[-0.5670978   0.00574759]
686,[-0.5670978   0.00574759],[-0.7726757],-0.059702772660731186,[-0.5621839   0.00491389]
687,[-0.5621839   0.00491389],[-0.4915616],-0.02416327983611133,[-0.55771863  0.00446529]
688,[-0.55771863  0.00446529],[0.18633077],-0.0034719154166510616,[-0.5527184   0.00500024]
689,[-0.5527184   0.00500024],[-0.24620359],-0.0060616205985353005,[-0.5478693   0.00484905]
690,[-0.5478693   0.00484905],[0.33590844],-0.011283448190110424,[-0.54233456  0.00553479]
691,[-0.54233456  0.00553479],[-0.751162],-0.05642443390515304,[-0.53778607  0.00454849]
692,[-0.53778607  0.00454849],[-0.4551298],-0.02071431368752066,[-0.5338139   0.00397216]
693,[-0.5338139   0.00397216],[-0.0982222],-0.0009647601270752538,[-0.5299125   0.00390143]
694,[-0.5299125   0.00390143],[0.6319687],-0.03993844087646359,[-0.5250157   0.00489674]
695,[-0.5250157   0.00489674],[0.8939259],-0.07991035240370935,[-0.5187675   0.00624825]
696,[-0.5187675   0.00624825],[0.10635043],-0.001131041382422643,[-0.5123959   0.00637154]
697,[-0.5123959   0.00637154],[0.47581363],-0.022639860787018053,[-0.50539464  0.00700126]
698,[-0.50539464  0.00700126],[-0.8375405],-0.070147410139613,[-0.49978614  0.00560848]
699,[-0.49978614  0.00560848],[0.7018378],-0.04925762667563163,[-0.49330333  0.0064828 ]
700,[-0.49330333  0.0064828 ],[0.07858586],-0.0006175736710258006,[-0.48692957  0.00637377]
701,[-0.48692957  0.00637377],[0.29421318],-0.008656139279879937,[-0.48038894  0.00654063]
702,[-0.48038894  0.00654063],[0.527457],-0.02782108856095533,[-0.4733803   0.00700865]
703,[-0.4733803   0.00700865],[-0.8170524],-0.06675746634891233,[-0.46797246  0.00540785]
704,[-0.46797246  0.00540785],[-0.4560915],-0.020801945032278814,[-0.463664    0.00430845]
705,[-0.463664    0.00430845],[-0.9946704],-0.0989369186896738,[-0.46129465  0.00236935]
706,[-0.46129465  0.00236935],[-0.03164167],-0.0001001195253265641,[-0.4594373   0.00185733]
707,[-0.4594373   0.00185733],[-0.8167036],-0.0667004798956473,[-4.5928329e-01  1.5402584e-04]
708,[-4.5928329e-01  1.5402584e-04],[0.4006471],-0.016051810177248528,[-4.5900768e-01  2.7561776e-04]
709,[-4.5900768e-01  2.7561776e-04],[-0.2555318],-0.006529649461322152,[-0.45959675 -0.00058909]
710,[-0.45959675 -0.00058909],[-0.4816584],-0.023199481342846086,[-0.4613854  -0.00178865]
711,[-0.4613854  -0.00178865],[-0.666526],-0.04442569347681094,[-0.46463773 -0.00325233]
712,[-0.46463773 -0.00325233],[-0.6464809],-0.04179375772483951,[-0.46929967 -0.00466196]
713,[-0.46929967 -0.00466196],[0.8498791],-0.07222944608501258,[-0.47309226 -0.00379258]
714,[-0.47309226 -0.00379258],[0.78508264],-0.061635474890309544,[-0.47608456 -0.00299231]
715,[-0.47608456 -0.00299231],[-0.6446903],-0.04156255509274729,[-0.48039907 -0.0043145 ]
716,[-0.48039907 -0.0043145 ],[-0.94135267],-0.08861448407015225,[-0.4864487  -0.00604962]
717,[-0.4864487  -0.00604962],[-0.7677294],-0.05894084340633441,[-0.49392796 -0.00747926]
718,[-0.49392796 -0.00747926],[-0.38465765],-0.014796150861592229,[-0.50220644 -0.00827849]
719,[-0.50220644 -0.00827849],[0.7845802],-0.06155660448962444,[-0.5094684  -0.00726195]
720,[-0.5094684  -0.00726195],[0.395959],-0.015678352164986455,[-0.5162423  -0.00677396]
